Official Name of Satellite,Dry Mass (Kilograms)
Saudicomsat-6,
Saudicomsat-7,
Saudisat 1C,
Saudisat-2 ,35
Saudisat-3,
Saudisat-4,
USA 230,
USA 241,
USA 216,
USA 181,
USA 181,
USA 194,
USA 194,
USA 229,
USA 229,
USA 238,
USA 238,
USA 264,
USA 264,
SCD-1,
SCD-2,
Scisat-1,
S-Cube,
SDO,1650
USA 179,
USA 198,
USA 227,
USA 236,
USA 252,
SDS-4,48
SEEDS 2,
Sentinel 1A,2146
Sentinel 1B,2146
Sentinel 2A,2146
Sentinel 3A,2146
SES-1,2561
SES-2,
SES-3,
SES-4,
SES-5,
SES-6,
SES-7,
SES-8,
SES-9,2835
Shijian 11 01,
Shijian 11 02,
Shijian 11 03,
Shijian 11 05,
Shijian 11 06,
Shijian 11 07,
Shijian 11 08,
Shijian 12,
Shijian 15,
Shijian 16 01,
Shijian 16 02,
Shijian 6A,
Shijian 6B,
Shijian 6C,
Shijian 6D,
Shijian 6E,
Shijian 6F,
Shijian 6G,
Shijian 6H,
Shijian 7,
Shijian 9A,
Shijian 9B,
Shiyan 1,
Shiyan 3,
Shiyan 4,
Shiyan 5,
Shiyan 7,
Sicral 1A,1263
Sicral 1B,
Sicral 2/Syracuse 3C,
Sinah-1,
SINOD D-1,
SINOD D-3,
Sinosat-6,
Sirius-1 (SD Radio 1),1570
Sirius 2 (SD Radio 2),1570
Sirius 3 (SD Radio 3),1570
Sirius 4,
Sirius FM-5,
Sirius FM-6,2975
Sirius XM-5,
Sky Mexico-1,
Skynet 4C,850
Skynet 4E,759
Skynet 4F,830
Skynet 5A,2170
Skynet 5B,2170
Skynet 5C,
Skynet 5D,
SkySat-1,
SkySat-2,
SkySat-3,
SkyTerra 1,3200
USA 119,
SMAP,
SMDC-ONE 1.1,
SMDC-ONE 1.2,
SMDC-ONE 2.3,
SMDC-ONE 2.4,
SMOS,630
SNaP-3 Alice,
SNaP-3 Eddie,
SNaP-3 Jimi,
SNaP-3-1,
SOCRATES,
SOHLA 1,
SOlar Radiation and Climate Experiment (SORCE),290
Spaceway 3,3655
Spaceway F1,3691
Spaceway F2,3691
Spainsat,1467
Spektr-R/RadioAstron,
SpinSat,
SPIRALE-A,
SPIRALE-B,
Spot 6,
Spot 7,
SPROUT,
SRMSat,
SSOT,
ST-2,
Star 1 C1,1750
Star 1 C2,1750
Star 1 C3,1402
Star 1 C4,
STARE-B,
USA 217,
STPSat-3,
STRaND-1,
Cosmos 2385,
Cosmos 2386,
Cosmos 2390,
Cosmos 2391,
Cosmos 2400,
Cosmos 2401,
Cosmos 2408,
Cosmos 2409,
STSat-2C,
STSat-3,
USA 205,
USA 208,1100
USA 209,1100
Superbird 7,
Superbird-B2,2160
Suzaku,
Swayam,
SWARM-A,369
SWARM-B,369
SWARM-C,369
Swift,
SwissCube,
Syracuse 3A,1650
Syracuse 3B,1658
TacSat 4,
TacSat 6,
TanDEM-X,
Tango,478
TDRS-10,1600
TDRS-11,1600
TDRS-12,1600
TDRS-3,1600
TDRS-5,1600
TDRS-6,1600
TDRS-7,1600
TDRS-8,1600
TDRS-9,1600
TechDemoSat-1,
TecSAR,260
TeLEOS 1,
Telkom 1,"1,700 (BOL)"
Telkom 2,899
Telstar 11N,
Telstar 12,1900
Telstar 12V,
Telstar 14R,2150
Telstar 18,2500
TerraSAR X 1,
TerraStar 1,
TET-1,
Thaicom-4,
Thaicom-5,1220
Thaicom-6,
Thaicom-8,
THEMIS A,77
THEMIS D,77
THEMIS E,77
Theos,670
Thor-3,646
Thor-5 ,
Thor-6,
Thor-7,
Thuraya 2,3200
Thuraya 3,
Tiangong-1,
Tianhui 1-01,
Tianhui 1-02,
Tianhui 1-03,
TianLian 1,
TianLian 2,
TianLian 3 ,
Tiantuo-2,
Tiantuo-3,
TW-1A,
TW-1B,
TW-1C,
TIGRISat,
TIMED,
TISat-1,
TJS-1,
TKSat-1,
USA 136,
Cosmos 2428,
TSUBAME,
TUGSat-1,7
Turkmen Alem 52E/MonacoSAT,1850
Turksat 3A,1272
Turksat 4A,
Turksat 4B,
USA 146,1540
USA 174,1545
USA 95,1545
USA 108,1545
USA 114,1545
USA 127,1545
USA 138,1545
UK-DMC-2,
Ukube-1,
UNIFORM 1,
UWE-3,
RBSP-A,
RBSP-B,
Velox 1,
Velox 2,
Velox C1,
VeneSat 1,
Vesselsat-1,
Vesselsat-2,
ViaSat-1,
Vinasat 1,
Vinasat 2,
VNREDSat 1A,
VRSS-1,
USA 195,3450
USA 204,3450
USA 211,3450
USA 233,3450
USA 243,3450
USA 244,3450
USA 263,3450
WildBlue 1,1995
WNISat-1,
Worldview 1,
Worldview 2,
Worldview 3,
Wren,
USA 261,
XC-1,
XC-2,
XC-3,
XC-4,
Xinyan 1,
XM 3,
XM 4,
XMM Newton,3233
X-Sat,
XTAR-EUR,1412
XW-1,
XW-2A,
XW-2B,
XW-2C,
XW-2D,
XW-2E,
XW-2F,
Yahsat-1A,
Yahsat-1B,
Yamal-202,
Yamal-300K,
Yamal-401,
Yamal-402,
Yaogan 10,
Yaogan 11,
Yaogan 12,
Yaogan 13,
Yaogan 14,
Yaogan 15,
Yaogan 16A,
Yaogan 16B,
Yaogan 16C,
Yaogan 17A,
Yaogan 17B,
Yaogan 17C,
Yaogan 18,
Yaogan 19,
Yaogan 20A,
Yaogan 20B,
Yaogan 20C,
Yaogan 21,
Yaogan 22,
Yaogan 23,
Yaogan 24,
Yaogan 25A,
Yaogan 25B,
Yaogan 25C,
Yaogan 26,
Yaogan 27,
Yaogan 28,
Yaogan 29,
Yaogan 30,
Yaogan 4,
Yaogan 6,
Yaogan 7,
Yaogan 8,
Yaogan 9A,
Yaogan 9B,
Yaogan 9C,
Youthsat,
Yubileiny,
ZACube-1,
Ziyuan 2C,
ZP-1B,
ZP-1C,
ZP-2A,
ZP-2B,
Zhongxing 10,
Zhongxing 12,
Zhongxing 1A,
Zhongxing 20A,
Zhongxing 22A,
Zhongxing 2A,
Zhongxing 9,
Zijing 1,
Ziyuan 1-02C,
Ziyuan 3,
Ziyan 3-2,
