movie_title,release_date,genre,mpaa_rating,total_gross,Pricce
Evita,25-12-1996,Musical,PG,50047179,
Metro,17-01-1997,Action,R,32017895,
Prefontaine,24-01-1997,Drama,PG-13,590817,
Shadow Conspiracy,31-01-1997,Thriller/Suspense,R,2154540,
That Darn Cat,14-02-1997,Comedy,PG,18301828,
Jungle 2 Jungle,07-03-1997,Comedy,PG,59925026,
The Sixth Man,28-03-1997,Comedy,PG-13,14765099,
Grosse Pointe Blank,11-04-1997,Black Comedy,R,28084357,
Romy and Michele's High School Reunion,25-04-1997,Comedy,R,29235353,
Gone Fishin',30-05-1997,Comedy,PG,19745922,
Con Air,06-06-1997,Action,R,101117573,
Hercules,13-06-1997,Adventure,G,99112101,
George Of The Jungle,16-07-1997,Comedy,PG,105263257,
Nothing To Lose,18-07-1997,Comedy,R,44480039,
Air Bud,01-08-1997,Comedy,PG,24646936,
G.I. Jane,22-08-1997,Drama,R,48169156,
A Thousand Acres,19-09-1997,Drama,R,7928412,
Washington Square,05-10-1997,Drama,PG,1775644,
Rocket Man,10-10-1997,Comedy,PG,15448043,
Playing God,17-10-1997,Thriller/Suspense,R,4166918,
Flubber,26-11-1997,Comedy,PG,92993801,
An American Werewolf in Paris,25-12-1997,Horror,R,26570463,
Mr. Magoo,25-12-1997,Comedy,PG,21437192,
Kundun,25-12-1997,Drama,PG-13,5686694,
Deep Rising,30-01-1998,Action,R,11203026,
Krippendorf's Tribe,27-02-1998,Comedy,PG-13,7571115,
An Alan Smithee Film: Burn Hollywood …,27-02-1998,Comedy,R,45779,
Meet the Deedles,27-03-1998,Comedy,PG,4356126,
He Got Game,01-05-1998,Drama,R,21567853,
The Horse Whisperer,15-05-1998,Drama,PG-13,75383563,
"Six Days, Seven Nights",12-06-1998,Romantic Comedy,PG-13,74339294,
Mulan,19-06-1998,Adventure,G,120620254,
Armageddon,01-07-1998,Adventure,PG-13,201578182,
Jane Austen's Mafia,24-07-1998,Comedy,PG-13,19843795,
The Parent Trap,29-07-1998,Comedy,PG,66308518,
Firelight,04-09-1998,Drama,R,784419,
Simon Birch,11-09-1998,Drama,PG,18253415,
Holy Man,09-10-1998,Comedy,PG,12069719,
Beloved,16-10-1998,Drama,R,22852487,
The Waterboy,06-11-1998,Comedy,PG-13,161491646,
I'll Be Home For Christmas,13-11-1998,Comedy,PG,12214338,
A Bug's Life,20-11-1998,Adventure,G,162798565,
Enemy of the State,20-11-1998,Action,R,111549836,
Rushmore,11-12-1998,Black Comedy,R,17105219,
A Civil Action,25-12-1998,Drama,PG-13,56709981,
Mighty Joe Young,25-12-1998,Adventure,PG,50632037,
My Favorite Martian,12-02-1999,Comedy,PG,36850101,
The Other Sister,26-02-1999,Romantic Comedy,PG-13,27807627,
Doug's 1st Movie,26-03-1999,Adventure,G,19421271,
Ten Things I Hate About You,31-03-1999,Romantic Comedy,PG-13,38177966,
Endurance,14-05-1999,,PG,229128,
Instinct,04-06-1999,Drama,R,34105207,
Tarzan,16-06-1999,Adventure,G,171091819,
Summer of Sam,02-07-1999,Drama,R,19288130,
Inspector Gadget,23-07-1999,Comedy,PG,97387965,
The Sixth Sense,06-08-1999,Thriller/Suspense,PG-13,293506292,
The 13th Warrior,27-08-1999,Action,R,32698899,
Breakfast of Champions,17-09-1999,Comedy,R,178287,
Mumford,24-09-1999,Comedy,R,4559569,
"Mystery, Alaska",01-10-1999,Comedy,R,8891623,
The Straight Story,15-10-1999,Drama,G,6197866,
The Insider,05-11-1999,Drama,R,28965197,
Toy Story 2,19-11-1999,Adventure,G,245852179,
Cradle Will Rock,08-12-1999,Drama,R,2899970,
Deuce Bigalow: Male Gigolo,10-12-1999,Comedy,R,65535067,
Bicentennial Man,17-12-1999,Drama,PG,58220776,
Play it to the Bone,24-12-1999,Comedy,R,8427204,
Fantasia 2000 (IMAX),01-01-2000,Musical,G,60507228,
Gun Shy,04-02-2000,Comedy,R,1638202,
The Tigger Movie,11-02-2000,Adventure,G,45542421,
Mission to Mars,10-03-2000,Adventure,PG,60874615,
High Fidelity,31-03-2000,Comedy,R,27277055,
Keeping the Faith,14-04-2000,Romantic Comedy,PG-13,37036404,
Dinosaur,19-05-2000,Adventure,PG,137748063,
Shanghai Noon,26-05-2000,Western,PG-13,56932305,
Gone in 60 Seconds,09-06-2000,Action,PG-13,101643008,
Fantasia 2000 (Theatrical Release),16-06-2000,Musical,G,9103630,
The Kid,07-07-2000,Comedy,PG,69688384,
Coyote Ugly,04-08-2000,Drama,PG-13,60786269,
The Crew,25-08-2000,Comedy,PG-13,13019253,
Duets,15-09-2000,Drama,R,4734235,
Remember the Titans,29-09-2000,Drama,PG,115654751,
Unbreakable,22-11-2000,Thriller/Suspense,PG-13,94999143,
102 Dalmatians,22-11-2000,Comedy,G,66941559,
The Emperor's New Groove,15-12-2000,Adventure,G,89296573,
"O Brother, Where Art Thou?",22-12-2000,Comedy,PG-13,45506619,
Double Take,12-01-2001,Action,PG-13,29823162,
Recess: School's Out,16-02-2001,Comedy,G,36696761,
Just Visiting,06-04-2001,Comedy,PG-13,4777007,
Pearl Harbor,25-05-2001,Action,PG-13,198539855,
Atlantis: The Lost Empire,08-06-2001,Adventure,PG,84052762,
crazy/beautiful,29-06-2001,Drama,PG-13,16929123,
The Princess Diaries,03-08-2001,Comedy,G,108244774,
Bubble Boy,24-08-2001,Comedy,PG-13,5002310,
Max Keeble's Big Move,05-10-2001,Comedy,PG,17292381,
Corky Romano,12-10-2001,Comedy,PG-13,23978402,
High Heels and Low Lifes,26-10-2001,,R,226792,
"Monsters, Inc.",02-11-2001,Adventure,G,289423425,
Out Cold,21-11-2001,Comedy,PG-13,13906394,
The Royal Tenenbaums,14-12-2001,Black Comedy,R,52353636,
Beauty and the Beast (IMAX),01-01-2002,Musical,G,25487028,
Frank McKlusky C.I.,01-01-2002,,,0,
Snow Dogs,18-01-2002,Comedy,PG,81150692,
The Count of Monte Cristo,25-01-2002,Drama,PG-13,54228104,
Peter Pan: Return to Neverland,15-02-2002,Adventure,G,48430258,
Reign of Fire,19-02-2002,Action,PG-13,43061982,
Sorority Boys,22-03-2002,Comedy,R,10198766,
The Rookie,29-03-2002,Drama,G,75600072,
Big Trouble,05-04-2002,Comedy,PG-13,7262288,
ESPN's Ultimate X - The Movie,10-05-2002,Documentary,PG,4197175,
Bad Company,07-06-2002,Action,PG-13,30157016,
Lilo & Stitch,21-06-2002,Adventure,PG,145771527,
The Country Bears,26-07-2002,Adventure,G,16988996,
Signs,02-08-2002,Thriller/Suspense,PG-13,227965690,
Sen to Chihiro no Kamikakushi,20-09-2002,Adventure,PG,10049886,
Sweet Home Alabama,27-09-2002,Comedy,PG-13,127214072,
Moonlight Mile,27-09-2002,Drama,PG-13,6830957,
Tuck Everlasting,11-10-2002,Drama,PG,19161999,
The Santa Clause 2,01-11-2002,Comedy,G,139225854,
Treasure Planet,27-11-2002,Adventure,PG,38120554,
The Hot Chick,13-12-2002,Comedy,PG-13,35081550,
